source_id,author,title,source_type,collection,verdict,edition,known_url,passages,words,in_ingestion_log,note
jw-letters-1746,john-wesley,Letters 1746,letter,jw-letter,YELLOW,"The Letters of John Wesley (per-year volumes, embedded header)",,110,36332,True,"Largest single collection (2,635 files). Every raw file carries a 'Source: The Letters of John Wesley (YEAR)' header naming the letter's year, confirming these are Wesley's letters and not a mislabeled work — but no source_url was ever logged (no download script found; likely manual/scraped ingest predating ingest_batch.py logging). Recommend Wilson confirm the specific edition (Telford 1931 8-vol vs. an older PD compilation) and backfill a URL."
jw-journal-vol4-part10-section02,john-wesley,"Journal Vol 4, Part X Section 2 (1757-1758)",journal,jw-journal,YELLOW,"Wesley's Journal (multiple raw files: journal-vol1-3, vol4-7, vol4-part09..13, 1760-to-1773, 1773-to-1776)",,102,34840,False,"No embedded Source: header on any journal raw file. Text authenticity is well-established (this is the corpus's most worked-on section — see CLAUDE.md OCR-gotchas section), but provenance is institutional memory, not a recorded URL. The vol4-part09..13 files are also absent from ingestion-log.csv entirely (see missing_from_ingestion_log column) — lowest-documented sub-slice of an otherwise well-understood work."
jw-journal-vol4-part10-section01,john-wesley,"Journal Vol 4, Part X Section 1 (1755-1758)",journal,jw-journal,YELLOW,"Wesley's Journal (multiple raw files: journal-vol1-3, vol4-7, vol4-part09..13, 1760-to-1773, 1773-to-1776)",,107,34363,False,"No embedded Source: header on any journal raw file. Text authenticity is well-established (this is the corpus's most worked-on section — see CLAUDE.md OCR-gotchas section), but provenance is institutional memory, not a recorded URL. The vol4-part09..13 files are also absent from ingestion-log.csv entirely (see missing_from_ingestion_log column) — lowest-documented sub-slice of an otherwise well-understood work."
jw-letters-1749,john-wesley,Letters 1749,letter,jw-letter,YELLOW,"The Letters of John Wesley (per-year volumes, embedded header)",,101,33675,True,"Largest single collection (2,635 files). Every raw file carries a 'Source: The Letters of John Wesley (YEAR)' header naming the letter's year, confirming these are Wesley's letters and not a mislabeled work — but no source_url was ever logged (no download script found; likely manual/scraped ingest predating ingest_batch.py logging). Recommend Wilson confirm the specific edition (Telford 1931 8-vol vs. an older PD compilation) and backfill a URL."
jw-letter-1749-01-to-dr-conyers-middleton,john-wesley,01 To Dr Conyers Middleton,letter,jw-letter,YELLOW,"The Letters of John Wesley (per-year volumes, embedded header)",,101,33416,True,"Largest single collection (2,635 files). Every raw file carries a 'Source: The Letters of John Wesley (YEAR)' header naming the letter's year, confirming these are Wesley's letters and not a mislabeled work — but no source_url was ever logged (no download script found; likely manual/scraped ingest predating ingest_batch.py logging). Recommend Wilson confirm the specific edition (Telford 1931 8-vol vs. an older PD compilation) and backfill a URL."
jw-letter-1746-02-to-thomas-church,john-wesley,02 To Thomas Church,letter,jw-letter,YELLOW,"The Letters of John Wesley (per-year volumes, embedded header)",,90,29275,True,"Largest single collection (2,635 files). Every raw file carries a 'Source: The Letters of John Wesley (YEAR)' header naming the letter's year, confirming these are Wesley's letters and not a mislabeled work — but no source_url was ever logged (no download script found; likely manual/scraped ingest predating ingest_batch.py logging). Recommend Wilson confirm the specific edition (Telford 1931 8-vol vs. an older PD compilation) and backfill a URL."
jw-letters-1745,john-wesley,Letters 1745,letter,jw-letter,YELLOW,"The Letters of John Wesley (per-year volumes, embedded header)",,85,29190,True,"Largest single collection (2,635 files). Every raw file carries a 'Source: The Letters of John Wesley (YEAR)' header naming the letter's year, confirming these are Wesley's letters and not a mislabeled work — but no source_url was ever logged (no download script found; likely manual/scraped ingest predating ingest_batch.py logging). Recommend Wilson confirm the specific edition (Telford 1931 8-vol vs. an older PD compilation) and backfill a URL."
jw-letters-1748,john-wesley,Letters 1748,letter,jw-letter,YELLOW,"The Letters of John Wesley (per-year volumes, embedded header)",,86,28658,True,"Largest single collection (2,635 files). Every raw file carries a 'Source: The Letters of John Wesley (YEAR)' header naming the letter's year, confirming these are Wesley's letters and not a mislabeled work — but no source_url was ever logged (no download script found; likely manual/scraped ingest predating ingest_batch.py logging). Recommend Wilson confirm the specific edition (Telford 1931 8-vol vs. an older PD compilation) and backfill a URL."
jw-letters-1766,john-wesley,Letters 1766,letter,jw-letter,YELLOW,"The Letters of John Wesley (per-year volumes, embedded header)",,85,27109,True,"Largest single collection (2,635 files). Every raw file carries a 'Source: The Letters of John Wesley (YEAR)' header naming the letter's year, confirming these are Wesley's letters and not a mislabeled work — but no source_url was ever logged (no download script found; likely manual/scraped ingest predating ingest_batch.py logging). Recommend Wilson confirm the specific edition (Telford 1931 8-vol vs. an older PD compilation) and backfill a URL."
jw-letter-1766-05-to-his-brother-charles-lewisham-february-28-1766,john-wesley,05 To His Brother Charles Lewisham February 28 1766,letter,jw-letter,YELLOW,"The Letters of John Wesley (per-year volumes, embedded header)",,83,26406,True,"Largest single collection (2,635 files). Every raw file carries a 'Source: The Letters of John Wesley (YEAR)' header naming the letter's year, confirming these are Wesley's letters and not a mislabeled work — but no source_url was ever logged (no download script found; likely manual/scraped ingest predating ingest_batch.py logging). Recommend Wilson confirm the specific edition (Telford 1931 8-vol vs. an older PD compilation) and backfill a URL."
jw-letters-1771,john-wesley,Letters 1771,letter,jw-letter,YELLOW,"The Letters of John Wesley (per-year volumes, embedded header)",,76,26340,True,"Largest single collection (2,635 files). Every raw file carries a 'Source: The Letters of John Wesley (YEAR)' header naming the letter's year, confirming these are Wesley's letters and not a mislabeled work — but no source_url was ever logged (no download script found; likely manual/scraped ingest predating ingest_batch.py logging). Recommend Wilson confirm the specific edition (Telford 1931 8-vol vs. an older PD compilation) and backfill a URL."
jw-letters-1750,john-wesley,Letters 1750,letter,jw-letter,YELLOW,"The Letters of John Wesley (per-year volumes, embedded header)",,76,25791,True,"Largest single collection (2,635 files). Every raw file carries a 'Source: The Letters of John Wesley (YEAR)' header naming the letter's year, confirming these are Wesley's letters and not a mislabeled work — but no source_url was ever logged (no download script found; likely manual/scraped ingest predating ingest_batch.py logging). Recommend Wilson confirm the specific edition (Telford 1931 8-vol vs. an older PD compilation) and backfill a URL."
jw-journal-vol4-part09-section02,john-wesley,"Journal Vol 4, Part IX Section 2 (1753-1754)",journal,jw-journal,YELLOW,"Wesley's Journal (multiple raw files: journal-vol1-3, vol4-7, vol4-part09..13, 1760-to-1773, 1773-to-1776)",,73,25707,False,"No embedded Source: header on any journal raw file. Text authenticity is well-established (this is the corpus's most worked-on section — see CLAUDE.md OCR-gotchas section), but provenance is institutional memory, not a recorded URL. The vol4-part09..13 files are also absent from ingestion-log.csv entirely (see missing_from_ingestion_log column) — lowest-documented sub-slice of an otherwise well-understood work."
jw-journal-vol4-part11-section01,john-wesley,"Journal Vol 4, Part XI Section 1 (1758-1760)",journal,jw-journal,YELLOW,"Wesley's Journal (multiple raw files: journal-vol1-3, vol4-7, vol4-part09..13, 1760-to-1773, 1773-to-1776)",,73,24671,False,"No embedded Source: header on any journal raw file. Text authenticity is well-established (this is the corpus's most worked-on section — see CLAUDE.md OCR-gotchas section), but provenance is institutional memory, not a recorded URL. The vol4-part09..13 files are also absent from ingestion-log.csv entirely (see missing_from_ingestion_log column) — lowest-documented sub-slice of an otherwise well-understood work."
jw-letters-1751,john-wesley,Letters 1751,letter,jw-letter,YELLOW,"The Letters of John Wesley (per-year volumes, embedded header)",,69,24296,True,"Largest single collection (2,635 files). Every raw file carries a 'Source: The Letters of John Wesley (YEAR)' header naming the letter's year, confirming these are Wesley's letters and not a mislabeled work — but no source_url was ever logged (no download script found; likely manual/scraped ingest predating ingest_batch.py logging). Recommend Wilson confirm the specific edition (Telford 1931 8-vol vs. an older PD compilation) and backfill a URL."
jw-journal-vol4-part11-section02,john-wesley,"Journal Vol 4, Part XI Section 2 (1760)",journal,jw-journal,YELLOW,"Wesley's Journal (multiple raw files: journal-vol1-3, vol4-7, vol4-part09..13, 1760-to-1773, 1773-to-1776)",,72,22811,False,"No embedded Source: header on any journal raw file. Text authenticity is well-established (this is the corpus's most worked-on section — see CLAUDE.md OCR-gotchas section), but provenance is institutional memory, not a recorded URL. The vol4-part09..13 files are also absent from ingestion-log.csv entirely (see missing_from_ingestion_log column) — lowest-documented sub-slice of an otherwise well-understood work."
jw-letters-1739,john-wesley,Letters 1739,letter,jw-letter,YELLOW,"The Letters of John Wesley (per-year volumes, embedded header)",,70,22467,True,"Largest single collection (2,635 files). Every raw file carries a 'Source: The Letters of John Wesley (YEAR)' header naming the letter's year, confirming these are Wesley's letters and not a mislabeled work — but no source_url was ever logged (no download script found; likely manual/scraped ingest predating ingest_batch.py logging). Recommend Wilson confirm the specific edition (Telford 1931 8-vol vs. an older PD compilation) and backfill a URL."
jw-letters-1756b,john-wesley,Letters 1756B,letter,jw-letter,YELLOW,"The Letters of John Wesley (per-year volumes, embedded header)",,65,22410,True,"Largest single collection (2,635 files). Every raw file carries a 'Source: The Letters of John Wesley (YEAR)' header naming the letter's year, confirming these are Wesley's letters and not a mislabeled work — but no source_url was ever logged (no download script found; likely manual/scraped ingest predating ingest_batch.py logging). Recommend Wilson confirm the specific edition (Telford 1931 8-vol vs. an older PD compilation) and backfill a URL."
jw-letters-1756a,john-wesley,Letters 1756A,letter,jw-letter,YELLOW,"The Letters of John Wesley (per-year volumes, embedded header)",,66,22157,True,"Largest single collection (2,635 files). Every raw file carries a 'Source: The Letters of John Wesley (YEAR)' header naming the letter's year, confirming these are Wesley's letters and not a mislabeled work — but no source_url was ever logged (no download script found; likely manual/scraped ingest predating ingest_batch.py logging). Recommend Wilson confirm the specific edition (Telford 1931 8-vol vs. an older PD compilation) and backfill a URL."
jw-letters-1774,john-wesley,Letters 1774,letter,jw-letter,YELLOW,"The Letters of John Wesley (per-year volumes, embedded header)",,62,21884,True,"Largest single collection (2,635 files). Every raw file carries a 'Source: The Letters of John Wesley (YEAR)' header naming the letter's year, confirming these are Wesley's letters and not a mislabeled work — but no source_url was ever logged (no download script found; likely manual/scraped ingest predating ingest_batch.py logging). Recommend Wilson confirm the specific edition (Telford 1931 8-vol vs. an older PD compilation) and backfill a URL."
jw-journal-vol4-part12-section01,john-wesley,"Journal Vol 4, Part XII Section 1 (1760-1762)",journal,jw-journal,YELLOW,"Wesley's Journal (multiple raw files: journal-vol1-3, vol4-7, vol4-part09..13, 1760-to-1773, 1773-to-1776)",,63,20176,False,"No embedded Source: header on any journal raw file. Text authenticity is well-established (this is the corpus's most worked-on section — see CLAUDE.md OCR-gotchas section), but provenance is institutional memory, not a recorded URL. The vol4-part09..13 files are also absent from ingestion-log.csv entirely (see missing_from_ingestion_log column) — lowest-documented sub-slice of an otherwise well-understood work."
jw-letters-1775,john-wesley,Letters 1775,letter,jw-letter,YELLOW,"The Letters of John Wesley (per-year volumes, embedded header)",,55,19426,True,"Largest single collection (2,635 files). Every raw file carries a 'Source: The Letters of John Wesley (YEAR)' header naming the letter's year, confirming these are Wesley's letters and not a mislabeled work — but no source_url was ever logged (no download script found; likely manual/scraped ingest predating ingest_batch.py logging). Recommend Wilson confirm the specific edition (Telford 1931 8-vol vs. an older PD compilation) and backfill a URL."
jw-letters-1772,john-wesley,Letters 1772,letter,jw-letter,YELLOW,"The Letters of John Wesley (per-year volumes, embedded header)",,52,18185,True,"Largest single collection (2,635 files). Every raw file carries a 'Source: The Letters of John Wesley (YEAR)' header naming the letter's year, confirming these are Wesley's letters and not a mislabeled work — but no source_url was ever logged (no download script found; likely manual/scraped ingest predating ingest_batch.py logging). Recommend Wilson confirm the specific edition (Telford 1931 8-vol vs. an older PD compilation) and backfill a URL."
jw-letter-1756a-01-to-william-law,john-wesley,A 01 To William Law,letter,jw-letter,YELLOW,"The Letters of John Wesley (per-year volumes, embedded header)",,55,18121,True,"Largest single collection (2,635 files). Every raw file carries a 'Source: The Letters of John Wesley (YEAR)' header naming the letter's year, confirming these are Wesley's letters and not a mislabeled work — but no source_url was ever logged (no download script found; likely manual/scraped ingest predating ingest_batch.py logging). Recommend Wilson confirm the specific edition (Telford 1931 8-vol vs. an older PD compilation) and backfill a URL."
jw-journal-vol4-part12-section02,john-wesley,"Journal Vol 4, Part XII Section 2 (1761)",journal,jw-journal,YELLOW,"Wesley's Journal (multiple raw files: journal-vol1-3, vol4-7, vol4-part09..13, 1760-to-1773, 1773-to-1776)",,52,17482,False,"No embedded Source: header on any journal raw file. Text authenticity is well-established (this is the corpus's most worked-on section — see CLAUDE.md OCR-gotchas section), but provenance is institutional memory, not a recorded URL. The vol4-part09..13 files are also absent from ingestion-log.csv entirely (see missing_from_ingestion_log column) — lowest-documented sub-slice of an otherwise well-understood work."
jw-letters-1731,john-wesley,Letters 1731,letter,jw-letter,YELLOW,"The Letters of John Wesley (per-year volumes, embedded header)",,53,17304,True,"Largest single collection (2,635 files). Every raw file carries a 'Source: The Letters of John Wesley (YEAR)' header naming the letter's year, confirming these are Wesley's letters and not a mislabeled work — but no source_url was ever logged (no download script found; likely manual/scraped ingest predating ingest_batch.py logging). Recommend Wilson confirm the specific edition (Telford 1931 8-vol vs. an older PD compilation) and backfill a URL."
jw-letters-1773,john-wesley,Letters 1773,letter,jw-letter,YELLOW,"The Letters of John Wesley (per-year volumes, embedded header)",,49,16953,True,"Largest single collection (2,635 files). Every raw file carries a 'Source: The Letters of John Wesley (YEAR)' header naming the letter's year, confirming these are Wesley's letters and not a mislabeled work — but no source_url was ever logged (no download script found; likely manual/scraped ingest predating ingest_batch.py logging). Recommend Wilson confirm the specific edition (Telford 1931 8-vol vs. an older PD compilation) and backfill a URL."
jw-letters-1747,john-wesley,Letters 1747,letter,jw-letter,YELLOW,"The Letters of John Wesley (per-year volumes, embedded header)",,53,16785,True,"Largest single collection (2,635 files). Every raw file carries a 'Source: The Letters of John Wesley (YEAR)' header naming the letter's year, confirming these are Wesley's letters and not a mislabeled work — but no source_url was ever logged (no download script found; likely manual/scraped ingest predating ingest_batch.py logging). Recommend Wilson confirm the specific edition (Telford 1931 8-vol vs. an older PD compilation) and backfill a URL."
jw-letters-1764,john-wesley,Letters 1764,letter,jw-letter,YELLOW,"The Letters of John Wesley (per-year volumes, embedded header)",,51,16648,True,"Largest single collection (2,635 files). Every raw file carries a 'Source: The Letters of John Wesley (YEAR)' header naming the letter's year, confirming these are Wesley's letters and not a mislabeled work — but no source_url was ever logged (no download script found; likely manual/scraped ingest predating ingest_batch.py logging). Recommend Wilson confirm the specific edition (Telford 1931 8-vol vs. an older PD compilation) and backfill a URL."
jw-letters-1738,john-wesley,Letters 1738,letter,jw-letter,YELLOW,"The Letters of John Wesley (per-year volumes, embedded header)",,51,16509,True,"Largest single collection (2,635 files). Every raw file carries a 'Source: The Letters of John Wesley (YEAR)' header naming the letter's year, confirming these are Wesley's letters and not a mislabeled work — but no source_url was ever logged (no download script found; likely manual/scraped ingest predating ingest_batch.py logging). Recommend Wilson confirm the specific edition (Telford 1931 8-vol vs. an older PD compilation) and backfill a URL."
jw-letter-1745-01-to-thomas-church,john-wesley,01 To Thomas Church,letter,jw-letter,YELLOW,"The Letters of John Wesley (per-year volumes, embedded header)",,48,16265,True,"Largest single collection (2,635 files). Every raw file carries a 'Source: The Letters of John Wesley (YEAR)' header naming the letter's year, confirming these are Wesley's letters and not a mislabeled work — but no source_url was ever logged (no download script found; likely manual/scraped ingest predating ingest_batch.py logging). Recommend Wilson confirm the specific edition (Telford 1931 8-vol vs. an older PD compilation) and backfill a URL."
jw-letter-1751-24-to-dr-lavington-bishop-of-exeter,john-wesley,24 To Dr Lavington Bishop Of Exeter,letter,jw-letter,YELLOW,"The Letters of John Wesley (per-year volumes, embedded header)",,46,16265,True,"Largest single collection (2,635 files). Every raw file carries a 'Source: The Letters of John Wesley (YEAR)' header naming the letter's year, confirming these are Wesley's letters and not a mislabeled work — but no source_url was ever logged (no download script found; likely manual/scraped ingest predating ingest_batch.py logging). Recommend Wilson confirm the specific edition (Telford 1931 8-vol vs. an older PD compilation) and backfill a URL."
jw-letters-1768,john-wesley,Letters 1768,letter,jw-letter,YELLOW,"The Letters of John Wesley (per-year volumes, embedded header)",,45,15734,True,"Largest single collection (2,635 files). Every raw file carries a 'Source: The Letters of John Wesley (YEAR)' header naming the letter's year, confirming these are Wesley's letters and not a mislabeled work — but no source_url was ever logged (no download script found; likely manual/scraped ingest predating ingest_batch.py logging). Recommend Wilson confirm the specific edition (Telford 1931 8-vol vs. an older PD compilation) and backfill a URL."
jw-journal-vol4-part09-section01,john-wesley,"Journal Vol 4, Part IX Section 1 (1751-1754)",journal,jw-journal,YELLOW,"Wesley's Journal (multiple raw files: journal-vol1-3, vol4-7, vol4-part09..13, 1760-to-1773, 1773-to-1776)",,46,15574,False,"No embedded Source: header on any journal raw file. Text authenticity is well-established (this is the corpus's most worked-on section — see CLAUDE.md OCR-gotchas section), but provenance is institutional memory, not a recorded URL. The vol4-part09..13 files are also absent from ingestion-log.csv entirely (see missing_from_ingestion_log column) — lowest-documented sub-slice of an otherwise well-understood work."
jw-letters-1760,john-wesley,Letters 1760,letter,jw-letter,YELLOW,"The Letters of John Wesley (per-year volumes, embedded header)",,45,15329,True,"Largest single collection (2,635 files). Every raw file carries a 'Source: The Letters of John Wesley (YEAR)' header naming the letter's year, confirming these are Wesley's letters and not a mislabeled work — but no source_url was ever logged (no download script found; likely manual/scraped ingest predating ingest_batch.py logging). Recommend Wilson confirm the specific edition (Telford 1931 8-vol vs. an older PD compilation) and backfill a URL."
jw-letters-1761,john-wesley,Letters 1761,letter,jw-letter,YELLOW,"The Letters of John Wesley (per-year volumes, embedded header)",,45,14598,True,"Largest single collection (2,635 files). Every raw file carries a 'Source: The Letters of John Wesley (YEAR)' header naming the letter's year, confirming these are Wesley's letters and not a mislabeled work — but no source_url was ever logged (no download script found; likely manual/scraped ingest predating ingest_batch.py logging). Recommend Wilson confirm the specific edition (Telford 1931 8-vol vs. an older PD compilation) and backfill a URL."
jw-letters-1789a,john-wesley,Letters 1789A,letter,jw-letter,YELLOW,"The Letters of John Wesley (per-year volumes, embedded header)",,42,14208,True,"Largest single collection (2,635 files). Every raw file carries a 'Source: The Letters of John Wesley (YEAR)' header naming the letter's year, confirming these are Wesley's letters and not a mislabeled work — but no source_url was ever logged (no download script found; likely manual/scraped ingest predating ingest_batch.py logging). Recommend Wilson confirm the specific edition (Telford 1931 8-vol vs. an older PD compilation) and backfill a URL."
jw-journal-vol4-part12-section03,john-wesley,"Journal Vol 4, Part XII Section 3 (1762)",journal,jw-journal,YELLOW,"Wesley's Journal (multiple raw files: journal-vol1-3, vol4-7, vol4-part09..13, 1760-to-1773, 1773-to-1776)",,42,14125,False,"No embedded Source: header on any journal raw file. Text authenticity is well-established (this is the corpus's most worked-on section — see CLAUDE.md OCR-gotchas section), but provenance is institutional memory, not a recorded URL. The vol4-part09..13 files are also absent from ingestion-log.csv entirely (see missing_from_ingestion_log column) — lowest-documented sub-slice of an otherwise well-understood work."
jw-letters-1769,john-wesley,Letters 1769,letter,jw-letter,YELLOW,"The Letters of John Wesley (per-year volumes, embedded header)",,39,13782,True,"Largest single collection (2,635 files). Every raw file carries a 'Source: The Letters of John Wesley (YEAR)' header naming the letter's year, confirming these are Wesley's letters and not a mislabeled work — but no source_url was ever logged (no download script found; likely manual/scraped ingest predating ingest_batch.py logging). Recommend Wilson confirm the specific edition (Telford 1931 8-vol vs. an older PD compilation) and backfill a URL."
