garble,fix,count,rule,ambiguous,sample_passage_id,sample_context
fweet,sweet,7,f->s,,jw-primitive-physick-012,"r are much about them, found, fweet and healthy. 3. Every 3. Every one"
conftantly,constantly,7,f->s,,jw-primitive-physick-013," going to bed . 2. They ought conftantly to go to bed about nine, and "
beft,best,7,f->s,,jw-primitive-physick-013, long life. 2. Walking is the beft exercise for those who are able to 
ftand,stand,7,f->s,,jw-primitive-physick-039,"onfumption, that he could not ftand alone. I advifed him to lofe fix O"
fickness,sickness,6,f->s,,jw-primitive-physick-000,"fin , fo he knew no pain , no fickness , weakness , or bodily diforder"
leaft,least,6,f->s,,jw-primitive-physick-005,"rt ofthem were forgotten , at leaft in the politer nations. Inthe room"
fafe,safe,6,f->s,,jw-primitive-physick-009," tongue , which contains only fafe and cheap and easy mea. ines . In a"
fnuff,snuff,6,f->s,,jw-primitive-physick-026,"nd Neck with Vinegar: 80. Or, fnuff up Vinegar and Water : 81. Or, che"
lefs,less,5,f->s,,jw-genuine-christianity-012,"of christianity to be more or lefs clogged and encumbered, for this ve"
fick,sick,5,f->s,,jw-primitive-physick-000,Primitive Phyfick : EASY and NATURAL By JOHN WESLEY. 
fince,since,5,f->s,,jw-primitive-physick-000,ons of Godfhoutforjoy. 2. But fince man rebell'd against the Sovereign
fometimes,sometimes,5,f->s,,jw-primitive-physick-002, menifque capacius altæ : Yea fometimes even by those meaner creatures
laft,last,5,f->s,,jw-primitive-physick-007,n do no good. 12. Even in the laft age there was fomething of this kin
falt,salt,5,f->s,,jw-primitive-physick-016,", milk, whey, honey, treacle, falt , vinegar, and common English herbs"
fure,sure,5,f->s,,jw-primitive-physick-016,nly used is this : you may be fure ofhaving them good in their
roaft,roast,5,f->s,,jw-primitive-physick-030,"en cover it with the Top, and roaft the apple thoroughly, take off the"
clofe,close,5,f->s,,jw-primitive-physick-040,"I. 230. Or, after paring them clofe, apply bruifed Ivy-leaves daily, a"
ftrain,strain,5,f->s,,jw-primitive-physick-050,"er'd, for twelve Hours ; then ftrain and keep it for Ufe. This alfo cu"
univerfal,universal,4,f->s,,jw-genuine-christianity-002,"place or nation, And yet this univerfal benevolence docs in no wile in"
advife,advise,4,f->s,,jw-general-rules-000,"e how their Souls prosper. To advife, reprove, comfort or exhort, as """
defire,desire,4,f->s,,jw-general-rules-002," 6. It is expected of all who defire to continue in these Societies, t"
reafon,reason,4,f->s,,jw-primitive-physick-002,"; nor do they often occur, by reafon of their continual exercise, and "
fimple,simple,4,f->s,,jw-primitive-physick-005,"s. 9. As theories increased , fimple medicines were more and more difr"
phyfician,physician,4,f->s,,jw-primitive-physick-006,"life , but by the advice of a phyfician. And thus both their honour an"
digeftion,digestion,4,f->s,,jw-primitive-physick-011,"ood . Ufe plain diet, easy of digeftion : and this as fparingly as you"
eafe,ease,4,f->s,,jw-primitive-physick-011,ft ofthe remedies for that difeafe which occurs in the enfuing collect
ftrongly,strongly,4,f->s,,jw-primitive-physick-013, riding : the arms or hams by ftrongly rubbing them daily. 4. The ftud
ftanding,standing,4,f->s,,jw-primitive-physick-013,"e much, fhould learn to do it ftanding ; otherwife it will impair thei"
almoft,almost,4,f->s,,jw-primitive-physick-015,"r well known ; and have added almoft an equal number, to which that ob"
ftrew,strew,4,f->s,,jw-primitive-physick-027,"loth , and apply it : 89. Or, ftrew on it the Afbes of a Linen Rag, di"
ftop,stop,4,f->s,,jw-primitive-physick-027, and bind it on. I- This will ftop the Bleeding of an amputated Limb w
ftamp,stamp,4,f->s,,jw-primitive-physick-029,"rh : 123. Or, Oil and Parfley ftamp together : 124. Or, apply Oil, and"
fwallow,swallow,4,f->s,,jw-primitive-physick-040,"ough continues, chew well and fwallow a Mouthful or two , of a Bifcuit"
flice,slice,4,f->s,,jw-primitive-physick-042,"of Onions : 252. Or, peel and flice a large Turnip, fpread coarfe Suga"
Conferve,Conserve,4,f->s,,jw-primitive-physick-043,"in Rheum . 259. Work into old Conferve of Rofes, as much as you can of"
Toaft,Toast,4,f->s,,jw-primitive-physick-054," Juleps in a Fever, is this : Toaft a large thin Slice of Bread , with"
caufe,cause,3,f->s,,jw-genuine-christianity-012,"t the whole strength of their caufe thereon, but have a deeper and fir"
faid,said,3,f->s,,jw-primitive-physick-003,"ean, as well as the American, faid to his neighbour,"
philofophical,philosophical,3,f->s,,jw-primitive-physick-004,"ut in procefs of time, men of philofophical turn, were not fatisfied w"
ftomach,stomach,3,f->s,,jw-primitive-physick-004,"e of the brain, heart, lungs, ftomach, bowels ; with the fprings of th"
fomething,something,3,f->s,,jw-primitive-physick-005,"iration , as perfons who were fomething more than human. And profit at"
diftemper,distemper,3,f->s,,jw-primitive-physick-010,"ly, on purpole to prolong the diftemper, that the doctor and he may di"
fparingly,sparingly,3,f->s,,jw-primitive-physick-011,"sy of digeftion : and this as fparingly as you can , confiftent with e"
Thofe,Those,3,f->s,,jw-primitive-physick-012,at confequence to our health. Thofe who have been long abroad in efter
ftrengthen,strengthen,3,f->s,,jw-primitive-physick-013,enefit of exercise. 3. We may ftrengthen any weak part of the body by 
conftant,constant,3,f->s,,jw-primitive-physick-013," going to bed . 2. They ought conftantly to go to bed about nine, and "
exercife,exercise,3,f->s,,jw-primitive-physick-013, part of the body by conftant exercife . Thus the lungs may be ftrengt
Coftiveness,Costiveness,3,f->s,,jw-primitive-physick-014,reat a fhock to nature . V. 1.Coftiveness cannot long confift with hea
fliced,sliced,3,f->s,,jw-primitive-physick-018,"arrow in like Manner : 6. Or, fliced Roots of Water- Lillies :-Tried ."
Efpecially,Especially,3,f->s,,jw-primitive-physick-019, andfometimes cures an Ague : Efpecially in Children. It is also prope
Convulfive,Convulsive,3,f->s,,jw-primitive-physick-025, your Body open. 10. A Dry or Convulfive Afthma. 66. Juice of Radishes
fharp,sharp,3,f->s,,jw-primitive-physick-027,"Afbes of a Linen Rag, dipt in fharp Vinegar and burnt : 90. Or, take r"
Horfe,Horse,3,f->s,,jw-primitive-physick-030,"nty-four Hours : 133. Or take Horfe- Spurs and dry them by the Fire, '"
Anife,Anise,3,f->s,,jw-primitive-physick-035,"irty to fixty drops of Oil of Anife-feed on a Lump of Sugar : 185. Or,"
foft,soft,3,f->s,,jw-primitive-physick-035,"ual Cholic. 190. Wear a thin, foft Flannel on the Part. This is genera"
Tafte,Taste,3,f->s,,jw-primitive-physick-035,"at, violent Thirst , a bitter Tafte in the Mouth, and little and high "
Clyfter,Clyster,3,f->s,,jw-primitive-physick-036,"eed in Water, which give as a Clyfter. 197. Or, twenty Drops of Laudan"
defperate,desperate,3,f->s,,jw-primitive-physick-038,"hs daily. This has cured in a defperate Cafe :- Tried. 213. Or, take a"
Hartfhorn,Hartshorn,3,f->s,,jw-primitive-physick-038,"ts of new Milk, two Ounces of Hartfhorn-fhavings, two Ounces of Ifing "
Cruft,Crust,3,f->s,,jw-primitive-physick-040,"hful or two , of a Bifcuit or Cruft of Bread . If you cannot fwallow i"
fwelled,swelled,3,f->s,,jw-primitive-physick-046,"er purging.: 289, Or, rub the fwelled Parts with fallad Oil by a warm "
fecond,second,3,f->s,,jw-primitive-physick-046,"powder'd Lawrel-leaves, every fecond or third Day. It works both Ways "
Fiftula,Fistula,3,f->s,,jw-primitive-physick-055,"or three Weeks, daily. 110. A Fiftula. 406. Grind an Ounce of Mercury "
Hyfteric,Hysteric,3,f->s,,jw-primitive-physick-063,wice a Day. Hypochondriac and Hyfteric Diforders. 503. Ufe cold Bathin
Breakfaft,Breakfast,3,f->s,,jw-primitive-physick-066,"ning fafting ; an Hour before Breakfaft, at Four in the Afternoon, and"
Rheumatifm,Rheumatism,3,f->s,,jw-primitive-physick-079,"s boiled in Vinegar. 178. The Rheumatifm.t 675. Ufe the cold Bath, wit"
