bicentennial,title,scripture,date,bicentennial_ref,jackson_ref,sugden_ref,jackson_running,jackson_running_author,notes
28,"Upon our Lord's Sermon on the Mount, VIII",Matt. 6:19-23,1748,1:612-631,V:361-377,I:471-494,28,,
29,"Upon our Lord's Sermon on the Mount, IX",Matt. 6:24-34,1748,1:632-649,V:378-393,I:495-516,29,,
30,"Upon our Lord's Sermon on the Mount, X",Matt. 7:1-12,1750,1:650-663,V:393-404,I:517-531,30,,
31,"Upon our Lord's Sermon on the Mount, XI",Matt. 7:13-14,1750,1:664-674,V:405-413,I:532-542,31,,
32,"Upon our Lord's Sermon on the Mount, XII",Matt. 7:15-20,1750,1:675-686,V:413-422,II:9-22,32,,
33,"Upon our Lord's Sermon on the Mount, XIII",Matt. 7:21-27,1750,1:687-698,V:423-433,II:23-36,33,,
34,"The Original, Nature, Properties, and Use of the Law",Rom. 7:12,1750,2:1-19,V:433-446,II:37-57,34,,
35,"The Law Established through Faith, Discourse I",Rom. 3:31,1750,2:20-32,V:447-457,II:58-71,35,,
36,"The Law Established through Faith, Discourse II",Rom. 3:31,1750,2:33-43,V:458-466,II:72-83,36,,
37,The Nature of Enthusiasm,Acts 26:24,1750,2:44-60,V:467-478,II:84-103,37,,
38,A Caution against Bigotry,Mark 9:38-39,1750,2:61-78,V:479-492,II:104-125,38,,
39,Catholic Spirit,2 Kgs. 10:15,1750,2:79-96,V:492-504,II:126-146,39,,"corpus stores as jw-catholic-spirit, not jw-sermon-039"
40,Christian Perfection,Phil. 3:12,1741,2:98-124,VI:1-22,II:147-177,40,,
41,Wandering Thoughts,2 Cor. 10:5,1762,2:125-137,VI:23-32,II:178-190,41,,
42,Satan's Devices,2 Cor. 2:11,1750,2:138-151,VI:32-43,II:191-204,42,,
43,The Scripture Way of Salvation,Eph. 2:8,1765,2:153-169,VI:43-54,II:442-460,43,,
44,Original Sin,Gen. 6:5,1760,2:170-185,VI:54-65,II:207-225,44,,
45,The New Birth,John 3:7,1760,2:186-201,VI:65-77,II:226-243,45,,
46,The Wilderness State,John 16:22,1760,2:202-221,VI:77-91,II:244-263,46,,
47,Heaviness through Manifold Temptations,1 Pet. 1:6,1760,2:222-235,VI:91-103,II:264-279,47,,
48,Self-denial,Luke 9:23,1760,2:236-250,VI:103-114,II:280-295,48,,
49,The Cure of Evil-speaking,Matt. 18:15-17,1760,2:251-262,VI:114-124,II:296-308,49,,
50,The Use of Money,Luke 16:9,1760,2:263-280,VI:124-136,II:309-327,50,,
51,The Good Steward,Luke 16:2,"May 14, 1768",2:281-298,VI:136-149,II:461-480,51,,
52,The Reformation of Manners,Ps. 94:16,"Jan. 30, 1763",2:300-323,VI:149-167,II:481-505,52,,
53,On the Death of George Whitefield,Num. 23:10,"Nov. 18, 1770",2:325-347,VI:167-182,II:506-527,53,,
54,On Eternity,Ps. 90:2,"June 28, 1786",2:358-372,VI:189-198,,54,,
55,On the Trinity,1 John 5:7,"May 7, 1775",2:373-386,VI:199-206,,55,,
56,God's Approbation of His Works,Gen. 1:31,"July-Aug. 1782",2:387-399,VI:206-215,,56,,
57,On the Fall of Man,Gen. 3:19,"Mar. 13, 1782",2:400-412,VI:215-224,,57,,
58,On Predestination,Rom. 8:29-30,"June 5, 1773",2:413-421,VI:225-230,,58,,
59,God's Love to Fallen Man,Rom. 5:15,"July 9, 1782",2:422-435,VI:231-240,,59,,
60,The General Deliverance,Rom. 8:19-22,"Nov. 30, 1781",2:436-450,VI:241-252,,60,,
61,The Mystery of Iniquity,2 Thess. 2:7,"May-June 1783",2:451-470,VI:253-267,,61,,
62,The End of Christ's Coming,1 John 3:8,"Jan. 20, 1781",2:471-484,VI:267-277,,62,,
63,The General Spread of the Gospel,Isa. 11:9,"Apr. 22, 1783",2:485-499,VI:277-288,,63,,
64,The New Creation,Rev. 21:5,"Nov.-Dec. 1785",2:500-510,VI:288-296,,64,,
65,The Duty of Reproving our Neighbour,Lev. 19:17,"July 28, 1787",2:511-520,VI:296-304,,65,,
66,The Signs of the Times,Matt. 16:3,"Aug. 27, 1787",2:521-533,VI:304-313,,66,,
67,On Divine Providence,Luke 12:7,"Mar. 3, 1786",2:534-550,VI:313-325,,67,,
68,The Wisdom of God's Counsels,Rom. 11:33,"Apr. 28, 1784",2:551-566,VI:325-337,,68,,
69,The Imperfection of Human Knowledge,1 Cor. 13:9,"Mar. 5, 1784",2:567-586,VI:337-350,,69,,
70,The Case of Reason Impartially Considered,1 Cor. 14:20,"July 6, 1781",2:587-600,VI:350-360,,70,,
71,Of Good Angels,Heb. 1:14,"Jan.-Feb. 1783",3:3-15,VI:361-370,,71,,
72,Of Evil Angels,Eph. 6:12,"Jan. 7, 1783",3:16-29,VI:370-380,,72,,
73,Of Hell,Mark 9:48,"Oct. 10, 1782",3:30-44,VI:381-391,,73,,
74,Of the Church,Eph. 4:1-6,"Sept. 28, 1785",3:45-57,VI:392-401,,74,,
75,On Schism,1 Cor. 12:25,"Mar. 30, 1786",3:58-69,VI:401-410,,75,,
76,On Perfection,Heb. 6:1,"Dec. 6, 1784",3:70-87,VI:411-424,,76,,
77,Spiritual Worship,1 John 5:20,"Dec. 22, 1780",3:88-102,VI:424-435,,77,,
78,Spiritual Idolatry,1 John 5:21,"Jan. 5, 1781",3:103-114,VI:435-444,,78,,
79,On Dissipation,1 Cor. 7:35,"Jan.-Feb. 1784",3:115-125,VI:444-452,,79,,
80,On Friendship with the World,Jas. 4:4,"May 1, 1786",3:126-140,VI:452-463,,80,,
81,In What Sense we are to Leave the World,2 Cor. 6:17-18,"July 17, 1784",3:141-155,VI:464-475,,81,,
82,On Temptation,1 Cor. 10:13,"Oct. 7, 1786",3:156-168,VI:475-484,,82,,
83,On Patience,Jas. 1:4,"Mar.-Apr. 1784",3:169-179,VI:484-492,,83,,
84,The Important Question,Matt. 16:26,"Sept. 11, 1775",3:181-198,VI:493-505,,84,,
85,On Working Out Our Own Salvation,Phil. 2:12-13,"Sept-Oct. 1785",3:199-209,VI:506-513,,85,,
86,A Call to Backsliders,Ps. 77:7-8,"May 20, 1778",3:210-226,VI:514-527,,86,,
87,The Danger of Riches,1 Tim. 6:9,"Jan.-Feb. 1781",3:227-246,VII:1-15,,87,,
88,On Dress,1 Pet. 3:3-4,"Dec. 30, 1786",3:247-261,VII:15-26,,88,,
89,The More Excellent Way,1 Cor. 12:31,"July-Aug. 1787",3:262-277,VII:26-37,,89,,
90,An Israelite Indeed,John 1:47,"July-Aug. 1785",3:278-289,VII:37-45,,90,,
91,On Charity,1 Cor. 13:1-3,"Oct. 15, 1784",3:290-307,VII:45-57,,91,,
92,On Zeal,Gal. 4:18,"May 6, 1781",3:308-321,VII:57-67,,92,,
93,On Redeeming the Time,Eph. 5:16,"Jan. 20, 1782",3:322-332,VII:67-75,,93,,
94,On Family Religion,Josh. 24:15,"May 26, 1783",3:333-346,VII:76-86,,94,,
95,On the Education of Children,Prov. 22:6,"July 12, 1783",3:347-360,VII:86-98,,95,,
96,On Obedience to Parents,Col. 3:20,"Sept.-Oct. 1784",3:361-372,VII:98-108,,96,,
97,On Obedience to Pastors,Heb. 13:17,"Mar. 18, 1785",3:373-383,VII:108-116,,97,,
98,On Visiting the Sick,Matt. 25:36,"May 23, 1786",3:384-397,VII:117-127,,98,,
99,The Reward of Righteousness,Matt. 25:34,"Nov. 23, 1777",3:399-414,VII:127-138,,99,,
100,On Pleasing All Men,Rom. 15:2,"May 22, 1787",3:415-426,VII:139-146,,100,,
101,The Duty of Constant Communion,Luke 22:19,"(1787)",3:427-439,VII:147-157,,101,,
102,Of Former Times,Eccles. 7:10,"June 27, 1787",3:440-453,VII:157-166,,102,,
103,What is Man? (I),Ps. 8:3-4,"July 23, 1787",3:454-463,VII:167-174,,103,,
104,On Attending the Church Service,1 Sam. 2:17,"Oct. 7, 1787",3:464-478,VII:174-185,,104,,
105,On Conscience,2 Cor. 1:12,"Apr. 8, 1788",3:479-490,VII:186-194,,105,,
106,On Faith (I),Heb. 11:6,"Apr. 9, 1788",3:491-501,VII:195-202,,106,,
107,On God's Vineyard,Isa. 5:4,"Oct. 17, 1787",3:502-517,VII:202-213,,107,,
108,On Riches,Matt. 19:24,"Apr. 22, 1788",3:518-528,VII:214-222,,108,,
109,The Trouble and Rest of Good Men,Job 3:17,"Sept. 21, 1735",3:531-541,VII:365-372,,127,,"corpus stores as jw-sermon-127; jw-sermon-cw1816-xiii is a duplicate of this sermon found bundled in the 1816 CW memoir volume"
110,Free Grace,Rom. 8:32,"Apr. 29, 1739",3:542-563,VII:373-386,,128,,"corpus stores as jw-free-grace, not jw-sermon-128"
111,National Sins and Miseries,2 Sam. 24:17,"Nov. 7, 1775",3:564-576,VII:400-408,,130,,
112,On Laying the Foundation of the New Chapel,Num. 23:23,"Apr. 21, 1777",3:577-592,VII:419-430,,132,,
113,The Late Work of God in North America,Ezek. 1:16,1778,3:594-608,VII:409-419,,131,,
114,On the Death of John Fletcher,Ps. 37:37,"Oct. 24, 1785",3:610-630,VII:431-449,,133,,
115,Dives and Lazarus,Luke 16:31,"Mar. 25, 1788",4:4-18,VII:244-255,,112,,
116,What is Man? (II),Ps. 8:4,"May 2, 1788",4:19-27,VII:225-230,,109,,
117,On the Discoveries of Faith,Heb. 11:1,"June 11, 1788",4:28-38,VII:231-238,,110,,
118,On the Omnipresence of God,Jer. 23:24,"Aug. 12, 1788",4:39-47,VII:238-244,,111,,
119,Walking by Sight and Walking by Faith,2 Cor. 5:7,"Dec. 30, 1788",4:48-59,VII:256-264,,113,,
120,The Unity of the Divine Being,Mark 12:32-33,"Apr. 9, 1789",4:60-71,VII:264-273,,114,,
121,Prophets and Priests,Heb. 5:4,"May 4, 1789",4:72-84,VII:273-281,,115,,
122,Causes of the Inefficacy of Christianity,Jer. 8:22,"July 2, 1789",4:85-96,VII:281-290,,116,,
123,On Knowing Christ after the Flesh,2 Cor. 5:16,"Aug. 15, 1789",4:97-106,VII:291-296,,117,,
124,Human Life a Dream,Ps. 73:20,"Aug. 1789",4:108-119,VII:318-325,,121,,
125,On a Single Eye,Matt. 6:22-23,"Sept. 25, 1789",4:120-130,VII:297-305,,118,,
126,On Worldly Folly,Luke 12:20,"Feb. 19, 1790",4:131-138,VII:305-311,,119,,
127,On the Wedding Garment,Matt. 22:12,"Mar. 26, 1790",4:139-148,VII:311-317,,120,,
128,The Deceitfulness of the Human Heart,Jer. 17:9,"Apr. 21, 1790",4:149-160,VII:335-343,,123,,
129,Heavenly Treasure in Earthen Vessels,2 Cor. 4:7,"June 17, 1790",4:161-167,VII:344-348,,124,,
130,On Living without God,Eph. 2:12,"July 6, 1790",4:168-176,VII:349-354,,125,,
131,The Danger of Increasing Riches,Ps. 62:10,"Sept. 21, 1790",4:177-186,VII:355-362,,126,,
132,On Faith (II),Heb. 11:1,"Jan. 17, 1791",4:187-200,VII:326-335,,122,,
133,Death and Deliverance,Job 3:17,"Oct. 1, 1725",4:204-214,,,,,"not printed by Jackson (dash); not expected in this corpus"
134,Seek First the Kingdom,Matt. 6:33,"Nov. 21, 1725",4:215-223,,,,,"not printed by Jackson (dash); not expected in this corpus"
135,On Guardian Angels,Ps. 91:11,"Sept. 29, 1726",4:224-235,,,,,"not printed by Jackson (dash); not expected in this corpus"
136,On Mourning for the Dead,2 Sam. 12:23,"Jan. 11, 1727",4:236-243,VII:463-468,,135,,
137,On Corrupting the Word of God,2 Cor. 2:17,"Oct. 6, 1727",4:244-251,VII:468-473,,136,,
138a,On Dissimulation,John 1:47,"Jan. 17, 1728",4:252-261,,,,,"not printed by Jackson (dash); not expected in this corpus"
138bc,Two Fragments on Dissimulation,,"?",4:262-266,,,,,"not printed by Jackson (dash); not expected in this corpus"
139,On the Sabbath,Exod. 20:8,"July 4, 1730",4:267-278,,,,,"not printed by Jackson (dash); not expected in this corpus"
140,The Promise of Understanding,John 13:7,"Oct. 13, 1730",4:279-289,,,,,"not printed by Jackson (dash); not expected in this corpus"
141,The Image of God,Gen. 1:27,"Nov. 1, 1730",4:290-303,,,,,"not printed by Jackson (dash); not expected in this corpus"
142,The Wisdom of Winning Souls,Prov. 11:30,"July 12, 1731",4:305-317,,,,,"not printed by Jackson (dash); not expected in this corpus"
143,Public Diversions Denounced,Amos 3:6,"Sept. 3, 1732",4:318-328,VII:500-508,,140,,
144,The Love of God,Mark 12:30,"Sept. 15, 1733",4:329-345,,,,,"not printed by Jackson (dash); not expected in this corpus"
145,In Earth as in Heaven,Matt. 6:10,"Apr. 20, 1734",4:346-350,,,,,"not printed by Jackson (dash); not expected in this corpus"
146,The One Thing Needful,Luke 10:42,"May 1734",4:351-359,,,,,"not printed by Jackson (dash); not expected in this corpus"
147,Wiser than the Children of Light,Luke 16:8,"1735 (?)",4:360-370,,,,,"not printed by Jackson (dash); not expected in this corpus"
148,A Single Intention,Matt. 6:22-23,"Feb. 3, 1736",4:371-377,,,,,"not printed by Jackson (dash); not expected in this corpus"
149,On Love,1 Cor. 13:3,"Feb. 20, 1737",4:378-388,VII:492-499,,139,,
150,Hypocrisy in Oxford (English),Isa. 1:21,"June 24, 1741",4:389-407,VII:452-462,,134,,
151,Hypocrisy in Oxford (Latin),Isa. 1:21,"June 27, 1741",4:408-419,,,,,"not printed by Jackson (dash); not expected in this corpus"
